"provincia_origen","provincia_destino","cantidad_migrantes"
"La Pampa","Entre Rios",389
"La Rioja","Entre Rios",128
"Mendoza","Entre Rios",700
"Misiones","Entre Rios",4096
"Neuquen","Entre Rios",993
"Rio Negro","Entre Rios",782
"Salta","Entre Rios",796
"San Juan","Entre Rios",205
"San Luis","Entre Rios",387
"Santa Cruz","Entre Rios",1750
"Santa Fe","Entre Rios",10815
"Santiago Del Estero","Entre Rios",371
"Tierra Del Fuego","Entre Rios",1503
"Tucuman","Entre Rios",332
"Amba","Formosa",18950
"Buenos Aires Interior","Formosa",1740
"Catamarca","Formosa",113
"Chaco","Formosa",3794
"Chubut","Formosa",1431
"Cordoba","Formosa",2642
"Corrientes","Formosa",2139
"Entre Rios","Formosa",563
"Jujuy","Formosa",410
"La Pampa","Formosa",239
"La Rioja","Formosa",100
"Mendoza","Formosa",430
"Misiones","Formosa",1183
"Neuquen","Formosa",542
"Rio Negro","Formosa",438
"Salta","Formosa",2104
"San Juan","Formosa",166
"San Luis","Formosa",128
"Santa Cruz","Formosa",4979
"Santa Fe","Formosa",1818
"Santiago Del Estero","Formosa",318
"Tierra Del Fuego","Formosa",1698
"Tucuman","Formosa",238
"Amba","Jujuy",15450
"Buenos Aires Interior","Jujuy",2015
"Catamarca","Jujuy",346
"Chaco","Jujuy",308
"Chubut","Jujuy",1655
"Cordoba","Jujuy",4358
"Corrientes","Jujuy",430
"Entre Rios","Jujuy",257
"Formosa","Jujuy",478
"La Pampa","Jujuy",181
"La Rioja","Jujuy",729
"Mendoza","Jujuy",2324
"Misiones","Jujuy",360
"Neuquen","Jujuy",868
"Rio Negro","Jujuy",618
"Salta","Jujuy",12658
"San Juan","Jujuy",361
"San Luis","Jujuy",319
"Santa Cruz","Jujuy",3834
"Santa Fe","Jujuy",762
"Santiago Del Estero","Jujuy",394
"Tierra Del Fuego","Jujuy",1995
"Tucuman","Jujuy",2348
"Amba","La Pampa",6150
"Buenos Aires Interior","La Pampa",7542
"Catamarca","La Pampa",44
"Chaco","La Pampa",395
"Chubut","La Pampa",758
"Cordoba","La Pampa",3723
"Corrientes","La Pampa",561
"Entre Rios","La Pampa",372
"Formosa","La Pampa",253
"Jujuy","La Pampa",216
"La Rioja","La Pampa",118
"Mendoza","La Pampa",3173
"Misiones","La Pampa",410
"Neuquen","La Pampa",1593
"Rio Negro","La Pampa",2496
"Salta","La Pampa",473
"San Juan","La Pampa",193
"San Luis","La Pampa",1393
"Santa Cruz","La Pampa",712
"Santa Fe","La Pampa",625
"Santiago Del Estero","La Pampa",418
"Tierra Del Fuego","La Pampa",220
"Tucuman","La Pampa",150
"Amba","La Rioja",4128
"Buenos Aires Interior","La Rioja",548
"Catamarca","La Rioja",1963
"Chaco","La Rioja",139
"Chubut","La Rioja",526
"Cordoba","La Rioja",4083
"Corrientes","La Rioja",122
"Entre Rios","La Rioja",155
"Formosa","La Rioja",106
"Jujuy","La Rioja",786
"La Pampa","La Rioja",97
"Mendoza","La Rioja",1811
"Misiones","La Rioja",208
"Neuquen","La Rioja",272
"Rio Negro","La Rioja",289
"Salta","La Rioja",1379
"San Juan","La Rioja",2995
"San Luis","La Rioja",575
"Santa Cruz","La Rioja",1503
"Santa Fe","La Rioja",553
"Santiago Del Estero","La Rioja",341
"Tierra Del Fuego","La Rioja",304
"Tucuman","La Rioja",967
"Amba","Mendoza",17434
"Buenos Aires Interior","Mendoza",3975
"Catamarca","Mendoza",386
"Chaco","Mendoza",635
"Chubut","Mendoza",2989
"Cordoba","Mendoza",5677
"Corrientes","Mendoza",575
"Entre Rios","Mendoza",722
"Formosa","Mendoza",449
"Jujuy","Mendoza",1935
"La Pampa","Mendoza",1893
"La Rioja","Mendoza",1585
"Misiones","Mendoza",791
"Neuquen","Mendoza",6820
"Rio Negro","Mendoza",2908
"Salta","Mendoza",3118
"San Juan","Mendoza",4412
"San Luis","Mendoza",8174
"Santa Cruz","Mendoza",3859
"Santa Fe","Mendoza",1753
"Santiago Del Estero","Mendoza",537
"Tierra Del Fuego","Mendoza",1862
"Tucuman","Mendoza",1574
"Amba","Misiones",52102
"Buenos Aires Interior","Misiones",5977
"Catamarca","Misiones",144
"Chaco","Misiones",2145
"Chubut","Misiones",1744
"Cordoba","Misiones",4225
"Corrientes","Misiones",14043
"Entre Rios","Misiones",3366
"Formosa","Misiones",1424
"Jujuy","Misiones",349
"La Pampa","Misiones",425
"La Rioja","Misiones",226
"Mendoza","Misiones",730
"Neuquen","Misiones",1195
"Rio Negro","Misiones",842
"Salta","Misiones",1084
"San Juan","Misiones",276
"San Luis","Misiones",270
"Santa Cruz","Misiones",3007
"Santa Fe","Misiones",2682
"Santiago Del Estero","Misiones",362
"Tierra Del Fuego","Misiones",2205
"Tucuman","Misiones",406
"Amba","Neuquen",21405
"Buenos Aires Interior","Neuquen",6710
"Catamarca","Neuquen",282
"Chaco","Neuquen",1370
"Chubut","Neuquen",3803
"Cordoba","Neuquen",4210
"Corrientes","Neuquen",1049
"Entre Rios","Neuquen",1122
"Formosa","Neuquen",1148
"Jujuy","Neuquen",1247
"La Pampa","Neuquen",1640
"La Rioja","Neuquen",496
"Mendoza","Neuquen",8856
"Misiones","Neuquen",1583
"Rio Negro","Neuquen",22315
"Salta","Neuquen",5484
"San Juan","Neuquen",1084
"San Luis","Neuquen",850
"Santa Cruz","Neuquen",2514
"Santa Fe","Neuquen",1960
"Santiago Del Estero","Neuquen",725
"Tierra Del Fuego","Neuquen",715
"Tucuman","Neuquen",2014
"Amba","Rio Negro",23349
"Buenos Aires Interior","Rio Negro",13021
"Catamarca","Rio Negro",195
"Chaco","Rio Negro",696
"Chubut","Rio Negro",8143
"Cordoba","Rio Negro",3792
"Corrientes","Rio Negro",809
"Entre Rios","Rio Negro",1005
"Formosa","Rio Negro",637
"Jujuy","Rio Negro",727
"La Pampa","Rio Negro",2381
"La Rioja","Rio Negro",533
"Mendoza","Rio Negro",3733
"Misiones","Rio Negro",1257
"Neuquen","Rio Negro",24371
"Salta","Rio Negro",1600
"San Juan","Rio Negro",698
"San Luis","Rio Negro",521
"Santa Cruz","Rio Negro",3321
"Santa Fe","Rio Negro",1944
"Santiago Del Estero","Rio Negro",504
"Tierra Del Fuego","Rio Negro",886
"Tucuman","Rio Negro",2288
"Amba","Salta",24039
"Buenos Aires Interior","Salta",3850
"Catamarca","Salta",946
"Chaco","Salta",1587
"Chubut","Salta",2680
"Cordoba","Salta",6212
"Corrientes","Salta",944
"Entre Rios","Salta",747
"Formosa","Salta",2174
"Jujuy","Salta",9966
"La Pampa","Salta",436
"La Rioja","Salta",984
"Mendoza","Salta",2633
"Misiones","Salta",1115
"Neuquen","Salta",2729
"Rio Negro","Salta",1160
"San Juan","Salta",532
"San Luis","Salta",292
"Santa Cruz","Salta",8034
"Santa Fe","Salta",1876
"Santiago Del Estero","Salta",1660
"Tierra Del Fuego","Salta",3159
"Tucuman","Salta",4955
